SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,FEATURES,NOTES
true,87,91,746,0,925,0.925,"e5875d97694b52af52d5a1223d5db1683eef2e42
","https://github.com/sewenthy/gitoxide/commit/e5875d97694b52af52d5a1223d5db1683eef2e42
",,gitoxide,inline-ext8-expr-active,1304,368,65,"[""borrow""]",elide even more than author
true,80,83,1403,0,1566,1.566,"030e63a9e93c2bc6641a07b8d3f7ba9fd7e24798
","https://github.com/sewenthy/kickoff/commit/030e63a9e93c2bc6641a07b8d3f7ba9fd7e24798
",,kickoff,inline-ext1-expr-active,1502,324,56,"[""borrow"",""mutable_borrow""]",all elidible lifetimes
true,104,100,1213,0,1417,1.417,"2bce1bb10dea2a5f2c911f089114b439d7aff648
","https://github.com/sewenthy/kickoff/commit/2bce1bb10dea2a5f2c911f089114b439d7aff648
",,kickoff,ext1-expr-active,1486,123,53,"[""non_local_loop""]",
true,99,94,1135,0,1329,1.329,"fdf3a74f92987f244b2ef3f2aa639dd185b4009a
","https://github.com/sewenthy/kickoff/commit/fdf3a74f92987f244b2ef3f2aa639dd185b4009a
",,kickoff,ext2-expr-active,1487,94,51,[],
true,101,84,1199,0,1385,1.385,"84a4fb315926ef5a1bccf9328c2c34c03ab4b0cf
","https://github.com/sewenthy/kickoff/commit/84a4fb315926ef5a1bccf9328c2c34c03ab4b0cf
",,kickoff,ext3-expr-active,1487,124,34,[],
true,104,107,958,0,1170,1.17,"a35f440ef6e0174c0d5a0c5303c40442ac4328ca
","https://github.com/sewenthy/kickoff/commit/a35f440ef6e0174c0d5a0c5303c40442ac4328ca
",,kickoff,ext4-expr-active,1486,123,21,"[""borrow"",""mutable_borrow""]",
true,96,105,1422,0,1625,1.625,"b6915c91470a841be012685026990285b64d86e2
","https://github.com/sewenthy/sniffnet/commit/b6915c91470a841be012685026990285b64d86e2
",,sniffnet,inline-ext1-expr-active,7283,352,72,"[""borrow""]",all elidible lifetimes
false,83,90,987,1,1161,1.161,"481be08f6b269801989ee5a699e9cd5815e61e62
","https://github.com/sewenthy/sniffnet/commit/481be08f6b269801989ee5a699e9cd5815e61e62
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182,"[""borrow"",""non_elidible_lifetimes""]",technial; need to introduce A{x=*x} if taken x as reference and init struct
true,105,103,1339,0,1547,1.547,"f6f9b59b36faa35b9e65e05183b2a1a230d2fba8
","https://github.com/sewenthy/sniffnet/commit/f6f9b59b36faa35b9e65e05183b2a1a230d2fba8
",,sniffnet,ext1-expr-active,7269,67,53,"[""borrow"",""mutable_borrow""]",
true,85,81,1340,0,1507,1.5070000000000001,"77111057fd7fb605a872e89240f8943907388c39
","https://github.com/sewenthy/sniffnet/commit/77111057fd7fb605a872e89240f8943907388c39
",,sniffnet,ext2-expr-active,7269,98,98,"[""mutable_borrow""]",path-ed receiver
true,79,93,1513,0,1685,1.685,"29d3818f3e032e9bd75e9fab17a74ff8459e06f2
","https://github.com/sewenthy/sniffnet/commit/29d3818f3e032e9bd75e9fab17a74ff8459e06f2
",,sniffnet,ext3-expr-active,7269,189,28,[],
true,105,103,1279,0,1488,1.488,"0bf76d2b61e444365e3e4691712f872ed334e6cb
","https://github.com/sewenthy/sniffnet/commit/0bf76d2b61e444365e3e4691712f872ed334e6cb
",,sniffnet,ext4-expr-active,7270,190,66,"[""borrow""]",
true,105,98,1235,0,1439,1.439,"8083d20dad6cc4cf24902cd4e2400fa7c4fdf945
","https://github.com/sewenthy/sniffnet/commit/8083d20dad6cc4cf24902cd4e2400fa7c4fdf945
",,sniffnet,ext5-expr-active,7269,339,47,[],lots of references but all elidible
true,110,114,1279,0,1504,1.504,"89a67db9d9fa415070c975f2e34255c4ec36d1c8
","https://github.com/sewenthy/sniffnet/commit/89a67db9d9fa415070c975f2e34255c4ec36d1c8
",,sniffnet,ext6-expr-active,7269,339,25,"[""mutable_borrow""]",
true,97,85,1263,0,1447,1.447,"fb0f3e4e425f6ca67ead7108d2063bed3141b534
","https://github.com/sewenthy/sniffnet/commit/fb0f3e4e425f6ca67ead7108d2063bed3141b534
",,sniffnet,ext7-expr-active,7270,340,84,[],
true,74,86,1372,0,1534,1.534,"d513119d6ee1e9930aa516bd056d6a7abad5a373
","https://github.com/sewenthy/beerus/commit/d513119d6ee1e9930aa516bd056d6a7abad5a373
",,beerus,ext-com1-expr-active,302,63,27,[],small use of async
